Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
sp|Q62312|TGFR2_MOUSE,0.0,0.0,0.0,139300.0,0.0,0.0,0.0,0.0,0.0
sp|Q62351|TFR1_MOUSE,568880.0,2334300.0,540270.0,759490.0,706990.0,0.0,128170.0,76366.0,40945.0
sp|Q62371|DDR2_MOUSE,753190.0,904050.0,558890.0,1526900.0,619100.0,32864.0,0.0,0.0,0.0
tr|A0A0N4SVQ1|A0A0N4SVQ1_MOUSE,6321100.0,36019000.0,13843000.0,22179000.0,38084000.0,23311000.0,20563000.0,42297000.0,32818000.0
sp|Q62433|NDRG1_MOUSE,165090.0,2255800.0,1125200.0,374430.0,2015000.0,146760.0,324490.0,655480.0,948700.0
tr|G3XA17|G3XA17_MOUSE,113180.0,265120.0,95536.0,129550.0,43592.0,206710.0,344380.0,131640.0,154560.0
sp|Q63850|NUP62_MOUSE,11180000.0,13530000.0,23531000.0,18100000.0,18331000.0,12713000.0,28939000.0,15759000.0,21824000.0
sp|Q63918|CAVN2_MOUSE,2752800.0,5169200.0,477580.0,3700600.0,3957200.0,86464.0,28086.0,0.0,0.0
tr|E9Q4Q2|E9Q4Q2_MOUSE,178460.0,427750.0,174880.0,315330.0,0.0,0.0,388170.0,95819.0,175880.0
sp|Q64261|CDK6_MOUSE,1911400.0,839850.0,1490000.0,1366700.0,147470.0,220020.0,1426000.0,274510.0,383060.0
sp|Q64310|SURF4_MOUSE,622990.0,317170.0,782670.0,688540.0,764410.0,582190.0,1372100.0,249640.0,724310.0
sp|Q64337|SQSTM_MOUSE,2065700.0,2010900.0,1592000.0,2695500.0,543830.0,1212600.0,3791900.0,135180.0,443400.0
sp|Q64511|TOP2B_MOUSE,0.0,10860.0,0.0,0.0,8471.4,8952.8,2961.3,0.0,0.0
tr|B1ASZ3|B1ASZ3_MOUSE,176570.0,319310.0,589510.0,237750.0,0.0,0.0,517760.0,0.0,0.0
sp|Q64523|H2A2C_MOUSE,15537000.0,1070100000.0,350230000.0,61873000.0,1147400000.0,597110000.0,194710000.0,1493800000.0,552760000.0
sp|Q64727|VINC_MOUSE,0.0,116580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|Q64737|PUR2_MOUSE,495040.0,538620.0,195160.0,271140.0,0.0,0.0,149260.0,0.0,0.0
sp|Q65Z40|WAPL_MOUSE,133070.0,175170.0,227100.0,189620.0,324930.0,174760.0,257290.0,186260.0,258990.0
sp|Q67FY2|BCL9L_MOUSE,692790.0,607960.0,901880.0,1154300.0,344550.0,3315.1,1208700.0,254220.0,179590.0
tr|F7CVW0|F7CVW0_MOUSE,45822.0,0.0,29072.0,15147.0,24577.0,15750.0,141020.0,44465.0,0.0
tr|Q5SXR6|Q5SXR6_MOUSE,77246.0,2000400.0,0.0,65870.0,16929.0,38539.0,0.0,5466.0,0.0
tr|Q8BUU7|Q8BUU7_MOUSE,0.0,139080.0,270780.0,0.0,492480.0,0.0,135880.0,352250.0,362310.0
tr|E9QB02|E9QB02_MOUSE,1561300.0,2144600.0,2490800.0,1720900.0,1197000.0,865140.0,1576000.0,836990.0,1687700.0
tr|E9Q390|E9Q390_MOUSE,66739.0,41832.0,19780.0,234630.0,60606.0,0.0,0.0,0.0,0.0
sp|Q69ZS0|PZRN3_MOUSE,184750.0,292820.0,166970.0,256440.0,230770.0,62188.0,162210.0,127710.0,250000.0
tr|H7BX26|H7BX26_MOUSE,20655.0,13743.0,26775.0,26927.0,33936.0,18238.0,117840.0,28159.0,87362.0
sp|Q6A0A9|F120A_MOUSE,1022000.0,947640.0,1204300.0,1302900.0,1255900.0,642860.0,1366000.0,916520.0,1394700.0
sp|Q6DFV5|HELZ_MOUSE,676810.0,2823000.0,2329000.0,1658800.0,4609900.0,3826400.0,3624700.0,4983100.0,5797500.0
sp|Q6DFW4|NOP58_MOUSE,101600.0,1079600.0,695550.0,111130.0,127730.0,337850.0,259470.0,69902.0,242260.0
sp|Q6DID7|WLS_MOUSE,535860.0,472420.0,946550.0,709360.0,2163300.0,967740.0,760540.0,1812300.0,3092500.0
tr|F7AI27|F7AI27_MOUSE,10763.0,58372.0,34491.0,21539.0,92302.0,0.0,20963.0,0.0,33255.0
tr|F6SX81|F6SX81_MOUSE,73718.0,79098.0,137530.0,79896.0,0.0,31229.0,358770.0,0.0,50921.0
sp|Q6NV83|SR140_MOUSE,725830.0,345230.0,757440.0,654010.0,364080.0,173840.0,737320.0,358680.0,491650.0
tr|A0A0R4J0H8|A0A0R4J0H8_MOUSE,0.0,0.0,26536.0,21944.0,44804.0,39156.0,0.0,46795.0,51904.0
sp|Q6NXJ0|WWC2_MOUSE,29652.0,125420.0,107450.0,28183.0,52363.0,46393.0,58380.0,44835.0,103330.0
tr|A0A0J9YUS5|A0A0J9YUS5_MOUSE,144850.0,306250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|Q6P3A8|ODBB_MOUSE,99310.0,0.0,401840.0,266410.0,1031200.0,321600.0,347930.0,585780.0,654070.0
tr|E0CYM1|E0CYM1_MOUSE,33238.0,56903.0,65099.0,50359.0,92756.0,22258.0,171190.0,66974.0,62506.0
sp|Q6P9J9|ANO6_MOUSE,873350.0,3009400.0,572610.0,1113300.0,1930400.0,0.0,0.0,0.0,0.0
sp|Q6P9L6|KIF15_MOUSE,15750.0,49006.0,52458.0,127390.0,35234.0,13053.0,179670.0,39492.0,18644.0
sp|Q6PB44|PTN23_MOUSE,192200.0,572960.0,636170.0,522430.0,1189600.0,635990.0,336250.0,894870.0,1166000.0
sp|Q6PB66|LPPRC_MOUSE,0.0,248090.0,0.0,0.0,0.0,62058.0,0.0,73754.0,41761.0
sp|Q6PCN7|HLTF_MOUSE,11219.0,0.0,344520.0,138780.0,368130.0,188960.0,255910.0,486100.0,440120.0
tr|E9PWB1|E9PWB1_MOUSE,586580.0,420850.0,454220.0,614160.0,187200.0,423220.0,737850.0,330000.0,1015400.0
sp|Q6PDI5|ECM29_MOUSE,0.0,76006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A1D5RMC1|A0A1D5RMC1_MOUSE,40885.0,138620.0,53366.0,59042.0,52435.0,21733.0,16423.0,24495.0,23537.0
tr|H7BX95|H7BX95_MOUSE,0.0,0.0,533220.0,0.0,398380.0,1211500.0,110390.0,572200.0,473600.0
tr|A0A1B0GSX7|A0A1B0GSX7_MOUSE,5398300.0,6206500.0,13137000.0,7329700.0,6460300.0,5405400.0,10592000.0,7120000.0,8618600.0
