Gene_id,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,C1,C2,C3
tr|E9Q151|E9Q151_MOUSE,-inf,22.871528534363385,-inf,-inf,22.647966904547356,-inf,-inf,-inf,-inf
sp|Q8VBZ3|CLPT1_MOUSE,21.67176218634461,21.785204994593688,21.71950246292825,21.804515496992106,21.111843758936054,-inf,21.546184193543784,-inf,21.238005811988682
sp|Q8VC16|LRC14_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,22.463236980639323,-inf,-inf
sp|Q8VCB1|NDC1_MOUSE,25.162770545980212,24.604559563151923,25.150543426447445,25.42681601774758,24.122499428886787,23.726608168948538,25.26756624671319,23.654034593795267,24.518513413177757
sp|Q8VCM8|NCLN_MOUSE,24.652941228800994,24.508755669040188,24.78201797545509,24.613692358943894,24.772182862828522,24.772887598731316,24.753227768780743,24.48166888250851,24.650587684383964
sp|Q8VCR7|ABHEB_MOUSE,-inf,-inf,-inf,-inf,23.102759380944704,23.601842409325016,-inf,23.37132466803902,23.612792923103733
sp|Q8VCW8|ACSF2_MOUSE,-inf,-inf,-inf,-inf,22.956083289974185,22.545877936379668,-inf,23.000583247239355,23.027307367493567
sp|Q8VDD5|MYH9_MOUSE,23.67798883510074,27.349336713612026,-inf,21.148985427734754,23.37026063550926,24.05779808763116,-inf,23.330466140526646,21.559035333174293
sp|Q8VDF2|UHRF1_MOUSE,-inf,24.49941819690978,23.789748543148825,-inf,22.817669938458426,22.15431131691837,22.384374831886674,24.28771237954945,21.999792229997457
tr|A0A087WP83|A0A087WP83_MOUSE,-inf,22.136585657484343,21.066380925675933,-inf,-inf,21.232160910581992,-inf,-inf,-inf
sp|Q8VDM4|PSMD2_MOUSE,24.963581225502516,25.11402251647373,24.734382166856463,24.574905295375096,23.864480135647064,23.586691380547425,23.882223607242864,23.515929821842885,23.621650375307727
sp|Q8VDN2|AT1A1_MOUSE,25.09212577984327,25.373981321106992,24.15213069892851,25.59545395563603,24.82531907104474,23.550981579922112,24.057467592230623,21.759062442927974,24.006330872961854
sp|Q8VDP4|CCAR2_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,22.796141032081305,22.55924543949388,-inf
tr|A0A0U1RP13|A0A0U1RP13_MOUSE,23.007751379128393,22.840439106873024,-inf,23.109757339558183,23.274549916265613,-inf,23.723174294028727,23.361050634501183,23.50105966128289
sp|Q8VDW0|DX39A_MOUSE,25.295265314163167,23.708514761181263,24.67389821815682,24.819629877141047,22.327508787169474,22.539739100698995,24.27390996675572,22.473058628512934,22.502298641364014
sp|Q8VDZ4|ZDHC5_MOUSE,22.04979538311712,21.399995488147653,-inf,22.144480254725536,-inf,-inf,-inf,-inf,-inf
sp|Q8VE73|CUL7_MOUSE,22.331177191496685,-inf,22.483773470833434,22.374007862948037,-inf,-inf,22.676633757547638,-inf,21.970215450546057
sp|Q8VE99|CC115_MOUSE,-inf,22.582402045347894,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8VEB2|SAV1_MOUSE,-inf,23.127467310463487,23.419183541241413,23.092375840907565,23.216038283933866,22.740736026078505,23.847567421063076,23.12006444659731,23.23876391283806
sp|Q8VEK3|HNRPU_MOUSE,22.757191401139856,23.491794391723825,23.42764737642355,22.396027734937167,23.249292301323308,23.900028014200696,23.049828612305124,22.677623304621115,22.95923575522655
sp|Q8VEM8|MPCP_MOUSE,26.963118155352213,27.889889274938277,27.610767139891095,27.459749157471613,28.236170871850916,28.406977762725237,27.250698731196092,28.151559869072777,28.471619093665932
sp|Q8VH51|RBM39_MOUSE,24.6211472948335,23.07566389834907,24.023860590720375,24.27817094462316,23.338241285080006,23.697845688275756,24.680405455250757,23.423293420394785,23.511714053747554
sp|Q8VHE0|SEC63_MOUSE,24.387388934409092,24.77695825538341,24.855620934582795,24.8050372905003,25.03707903815191,24.918980396764184,24.860886164235936,24.92333981852399,25.03573746414763
sp|Q8VHK9|DHX36_MOUSE,-inf,21.597779787573113,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8VHR5|P66B_MOUSE,-inf,20.808527465393745,-inf,-inf,-inf,-inf,-inf,-inf,-inf
sp|Q8VHX6|FLNC_MOUSE,26.23536757934824,25.89219611297391,25.785214974187856,26.04032300263296,25.468802503507714,25.65266775803136,26.279039349430487,25.396824771555842,25.63050932571173
sp|Q8VHY0|CSPG4_MOUSE,24.092246782544674,25.57158207725449,24.52808634286233,25.24622884590595,25.126482979106385,23.689231923085003,-inf,24.028336424038862,23.339601035454827
sp|Q8VIG0|ZCH14_MOUSE,-inf,-inf,-inf,-inf,-inf,-inf,20.897186645943783,-inf,-inf
