Entry	Entry name	Gene names
Q99020	ROAA_MOUSE	Hnrnpab Cbf-a Cgbfa Hnrpab
Q8BNI4	DERL2_MOUSE	Derl2 Der2 Flana
Q8C547	HTR5B_MOUSE	Heatr5b Kiaa1414
P68373	TBA1C_MOUSE	Tuba1c Tuba6
Q8BZ47	ZN609_MOUSE	Znf609 Kiaa0295 Zfp609
A6H8H2	DEN4C_MOUSE	Dennd4c
F8WIR1	F8WIR1_MOUSE	Ctsd
Q6P5E4	UGGG1_MOUSE	Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr
P47856	GFPT1_MOUSE	Gfpt1 Gfpt
Q9R0N0	GALK1_MOUSE	Galk1 Galk Glk
P97351	RS3A_MOUSE	Rps3a Rps3a1
Q9D0D4	DIM1_MOUSE	Dimt1 Dimt1l
O09005	DEGS1_MOUSE	Degs1 Degs Des1 Mdes
A0A1W2P750	A0A1W2P750_MOUSE	Ppp1r12a
Q6DFW4	NOP58_MOUSE	Nop58 Nol5
F8WHZ7	F8WHZ7_MOUSE	Mettl16
P11688	ITA5_MOUSE	Itga5
Q6ZQ29	TAOK2_MOUSE	Taok2 Kiaa0881
Q8VBZ3	CLPT1_MOUSE	Clptm1 N14
E9QB02	E9QB02_MOUSE	Mars1 Mars
Q99KI0	ACON_MOUSE	Aco2
Q8BP67	RL24_MOUSE	Rpl24
P35279	RAB6A_MOUSE	Rab6a Rab6 MNCb-1660
Q8BFP9	PDK1_MOUSE	Pdk1
F6QKK2	F6QKK2_MOUSE	Arl8a
Q61602	GLI3_MOUSE	Gli3
A0A087WS03	A0A087WS03_MOUSE	Pign
Q8VCB1	NDC1_MOUSE	Ndc1 Tmem48
E9QAI5	E9QAI5_MOUSE	Cad
A0A3B2WCD8	A0A3B2WCD8_MOUSE	Khsrp
Q9CR57	RL14_MOUSE	Rpl14
G3UW40	G3UW40_MOUSE	Mcc
A0A171KXD3	A0A171KXD3_MOUSE	Prmt1
D3Z6W2	D3Z6W2_MOUSE	Ptpn2
Q61026	NCOA2_MOUSE	Ncoa2 Grip1 Src2 Tif2
A0A2I3BS49	A0A2I3BS49_MOUSE	Timm23
Q3U1J4	DDB1_MOUSE	Ddb1
Q8BHJ5	TBL1R_MOUSE	Tbl1xr1 Ira1 Tblr1
F8WHT3	F8WHT3_MOUSE	Prrc2b
Q6PDI5	ECM29_MOUSE	Ecpas Ecm29 Kiaa0368
Q60988	STIL_MOUSE	Stil Sil
Q3TC46	PATL1_MOUSE	Patl1
Q3TWI9	CSCL2_MOUSE	Tmem63b
Q6PD26	PIGS_MOUSE	Pigs
S4R238	S4R238_MOUSE	Chchd3
Q8CH18	CCAR1_MOUSE	Ccar1 Carp1
E9Q5B5	E9Q5B5_MOUSE	Hk2
Q8BJ34	MARF1_MOUSE	Marf1 Kiaa0430 Lkap
Q99KX1	MLF2_MOUSE	Mlf2
P12970	RL7A_MOUSE	Rpl7a Surf-3 Surf3
Q922J9	FACR1_MOUSE	Far1
Q5SNZ0	GRDN_MOUSE	Ccdc88a Grdn Kiaa1212
Q9D051	ODPB_MOUSE	Pdhb
Q60838	DVL2_MOUSE	Dvl2
P63163	RSMN_MOUSE	Snrpn Smn
Q61398	PCOC1_MOUSE	Pcolce Pcpe1
Q3TM89	Q3TM89_MOUSE	Pcnp
P56480	ATPB_MOUSE	Atp5f1b Atp5b
P36916	GNL1_MOUSE	Gnl1 Gna-rs1 Mmr1
O35129	PHB2_MOUSE	Phb2 Bap Bcap37 Rea
Q8BGH2	SAM50_MOUSE	Samm50
Q9WTI7	MYO1C_MOUSE	Myo1c
Q9JKX6	NUDT5_MOUSE	Nudt5
D6RE33	D6RE33_MOUSE	Edc4
P68368	TBA4A_MOUSE	Tuba4a Tuba4
Q67FY2	BCL9L_MOUSE	Bcl9l B9l
A0A286YDQ6	A0A286YDQ6_MOUSE	Pcgf5
P52480	KPYM_MOUSE	Pkm Pk3 Pkm2 Pykm
P17809	GTR1_MOUSE	Slc2a1 Glut1
O35874	SATT_MOUSE	Slc1a4 Asct1
Q8K3Z9	PO121_MOUSE	Pom121 Nup121
Q8BHL3	TB10B_MOUSE	Tbc1d10b
Q99KQ4	NAMPT_MOUSE	Nampt Pbef1
Q8K0M3	Q8K0M3_MOUSE	Sorbs3 Sh3d4
O08547	SC22B_MOUSE	Sec22b Sec22l1
Q9EQU5	SET_MOUSE	Set
Q8VE73	CUL7_MOUSE	Cul7 Kiaa0076
P54071	IDHP_MOUSE	Idh2
P11499	HS90B_MOUSE	Hsp90ab1 Hsp84 Hsp84-1 Hspcb
Q80U78	PUM1_MOUSE	Pum1 Kiaa0099
Q8VEK3	HNRPU_MOUSE	Hnrnpu Hnrpu
Q8BXZ1	TMX3_MOUSE	Tmx3 Kiaa1830 Txndc10
P37913	DNLI1_MOUSE	Lig1 Lig-1
Q5SX75	Q5SX75_MOUSE	P4ha2
Q9QXB9	DRG2_MOUSE	Drg2
Q7TMY8	HUWE1_MOUSE	Huwe1 Kiaa0312 Ureb1
F8WHN7	F8WHN7_MOUSE	Runx2
P63101	1433Z_MOUSE	Ywhaz
A0A1D5RLW5	A0A1D5RLW5_MOUSE	Rpl18a
Q3UN02	LCLT1_MOUSE	Lclat1 Agpat8 Alcat1 Gm91 Lycat
Q9QYH6	MAGD1_MOUSE	Maged1 Nrage
B2RX14	TUT4_MOUSE	Tut4 Kiaa0191 Zcchc11
O35657	NEUR1_MOUSE	Neu1 Neu
Q8K009	AL1L2_MOUSE	Aldh1l2
B1ARA3	B1ARA3_MOUSE	Rpl26
O09106	HDAC1_MOUSE	Hdac1
Q9DCC1	Q9DCC1_MOUSE	Rngtt
